Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
Spice1,7.678462314,7.698091853,7.200936878,7.3925671,7.847304039,7.91927162,7.093662494,7.290330129,7.219135752,7.583610709,7.988902521,7.429140545,,188.362573,-0.141531537,0.180862946,0.373942405,0.606771006,212514,spindle and centriole associated protein 1
Spidr,8.508537313,8.44619019,8.484897123,8.575111588,8.503545696,8.495383203,8.743605026,8.484272012,8.680583716,8.130245092,8.558958815,8.06855083,,358.2737639,-0.031804679,0.133242843,0.798089063,0.905984165,224008,scaffolding protein involved in DNA repair
Spin1,10.46040482,10.71764343,10.98943277,11.07795969,10.80330813,10.55196673,11.34897899,10.96742867,11.17476331,10.99890147,10.37667315,10.90860992,,1899.719839,0.173052708,0.165342606,0.242017969,0.468644071,20729,spindlin 1
Spin2c,3.186609218,4.635807575,4.104075339,3.731837092,4.560626791,2.47301539,5.851587707,5.871828775,6.623032693,4.9152322,5.162354034,4.667300282,,33.32201124,1.438834189,0.491488614,0.000217981,0.002689466,278240,"spindlin family, member 2C"
Spin4,4.093499814,4.592738853,4.74150526,4.892301764,5.287608297,4.151087295,4.473076083,5.597653811,4.589085362,6.849344265,3.862793752,4.728700826,,33.79569431,0.297468544,0.388025998,0.169696809,0.375344761,270624,"spindlin family, member 4"
Spink4,2.99396414,3.548344733,0.934150337,#NUM!,2.287608297,#NUM!,0.151147989,9.388134915,5.589085362,0.107877279,1.747316534,7.121018249,,74.11639856,3.798769995,2.013455116,0.000866136,0.008008853,20731,"serine peptidase inhibitor, Kazal type 4"
Spink5,8.78652206,9.823305206,10.14968334,8.856262545,10.5035457,8.01527344,9.018426728,9.19375687,8.27891698,7.542505506,8.098991972,7.931640885,,564.7434777,-0.837086577,0.45428628,0.00663448,0.038513995,72432,"serine peptidase inhibitor, Kazal type 5"
Spint1,12.28266546,11.76599957,11.87556481,12.0079615,12.11017913,11.95400749,11.97292197,12.38904389,12.32443991,10.31367053,12.62460067,12.17819342,,4288.74156,0.069779274,0.236750125,0.704084712,0.851958502,20732,"serine protease inhibitor, Kunitz type 1"
Spint2,14.34679579,13.50226833,13.3302199,13.46185761,13.58633915,13.76809552,13.93179027,13.66824283,13.96060274,11.88595441,14.59391693,14.75850567,,15090.97923,0.179955997,0.28551463,0.371901737,0.605480198,20733,"serine protease inhibitor, Kunitz type 2"
Spire1,7.175293905,7.698091853,8.210274743,8.402597465,7.826767108,7.830567395,8.459487019,8.084278393,7.57180737,8.443267633,6.391172724,9.588753172,,288.0950638,0.244639426,0.325344196,0.24658646,0.473662593,68166,spire type actin nucleation factor 1
Spire2,8.900854735,7.303232235,6.922835024,8.405925483,6.800677879,8.370255816,9.293255046,8.506779412,7.743662399,6.889236992,9.369368354,10.08331754,,384.0939311,0.526656091,0.504727952,0.048479554,0.162085433,234857,spire type actin nucleation factor 2
Spn,8.214515214,9.559571989,9.391531217,8.836667065,9.062395357,7.844574253,8.305966098,8.047906004,8.500548687,9.05624451,8.53304144,7.857983843,,418.5862662,-0.34341298,0.283096194,0.103769824,0.271890095,20737,sialophorin
Spns1,10.51864577,10.52490886,10.4119086,10.26092309,10.51802909,10.76395579,9.88246702,9.897607216,9.739799759,10.01476787,10.35711089,10.13667666,,1246.636267,-0.455484877,0.13325314,0.000269488,0.003180195,73658,spinster homolog 1
Spns2,10.41662965,10.4378487,9.986718388,10.15117769,10.1445525,9.972861278,10.29962457,9.638994607,9.860326043,9.360542711,9.813405725,10.17853729,,1062.143198,-0.258433215,0.169428243,0.088253852,0.243871978,216892,spinster homolog 2
Spock2,9.797634015,11.73476853,10.82137095,10.38668369,11.77108821,10.03373035,9.654973727,9.128491098,9.541063847,11.06497932,9.225749115,9.092105557,,1448.943627,-0.834529519,0.471821325,0.007635342,0.043054269,94214,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
Spon1,9.241891653,10.69300298,10.68318172,10.20947633,10.30719902,8.602298407,9.907704311,9.09620156,9.470563538,11.5336177,8.900446293,9.152166948,,1081.123713,-0.04395121,0.301958551,0.811195125,0.911486231,233744,"spondin 1, (f-spondin) extracellular matrix protein"
