k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
137	3	43	0.14061381	-0.1823701	AB	0	0	0.1009407	-0.16357241	AB	0	0	ct2VSct3	-0.009132641024994	0	0
138	3	44	0.14061381	-0.17777604	AB	0	0	0.1009407	-0.17446408	AB	0	0	ct2VSct3	-0.0073872399510564	0	0
139	3	45	0.14061381	0.088799464	AA	0.0124864309589978	0	0.1009407	0.066227762	AA	0.0066850766557134	0	ct2VSct3	0.00580135430328444	0.0058013543032844	0
140	3	46	0.14061381	-0.083378426	AB	0	0	0.1009407	-0.032986415	AB	0	0	ct2VSct3	-0.00839448633107256	0	0
141	3	47	0.14061381	0.15723078	AA	0.0221088190250718	0	0.1009407	0.17300806	AA	0.017463554682042	0	ct2VSct3	0.0046452643430298	0.0046452643430298	0
142	3	48	0.14061381	0.14162452	AA	0.0199143633466212	0	0.1009407	0.15073365	AA	0.015215160144555	0	ct2VSct3	0.0046992032020662	0.0046992032020662	0
143	3	49	0.14061381	0.047735823	AA	0.00671231594551563	0	0.1009407	0.083039757	AA	0.0083820911994099	0	ct2VSct3	-0.00166977525389427	-0.00166977525389427	0
144	3	50	0.14061381	0.0022084846	AA	0.000310543433932326	0	0.1009407	0.088158697	AA	0.0088988005862679	0	ct2VSct3	-0.00858825715233557	-0.00858825715233557	0
145	4	5	-0.18161297	-0.18328273	BB	0	0.0332865209450081	-0.16271872	-0.15626544	BB	0	0.0254273123770368	ct2VSct3	0.0078592085679713	0	0.0078592085679713
146	4	6	-0.18161297	0.042068575	BA	0	0	-0.16271872	0.077304897	BA	0	0	ct2VSct3	0.00493875504015409	0	0
147	4	7	-0.18161297	-0.00098194839	BB	0	0.000178334563494618	-0.16271872	0.051912599	BA	0	0	ct2VSct3	0.0086254862246479	0	0.000178334563494618
148	4	8	-0.18161297	-0.044405686	BB	0	0.00806464851934742	-0.16271872	0.009518961	BA	0	0	ct2VSct3	0.00961356166899734	0	0.00806464851934742
149	4	9	-0.18161297	-0.17344142	BB	0	0.0314992114072174	-0.16271872	-0.15743553	BB	0	0.0256177079241216	ct2VSct3	0.00588150348309581	0	0.0058815034830958
150	4	10	-0.18161297	-0.19903151	BB	0	0.0361467036546847	-0.16271872	-0.19242186	BB	0	0.0313106387592192	ct2VSct3	0.0048360648954655	0	0.00483606489546549
151	4	11	-0.18161297	-0.1973125	BB	0	0.035834509143125	-0.16271872	-0.19638166	BB	0	0.0319549723466752	ct2VSct3	0.0038795367964498	0	0.0038795367964498
152	4	12	-0.18161297	-0.15190249	BB	0	0.0275874623592953	-0.16271872	-0.16028141	BB	0	0.0260807858749952	ct2VSct3	0.0015066764843001	0	0.0015066764843001
153	4	13	-0.18161297	-0.087703852	BB	0	0.0159281570421604	-0.16271872	-0.11455982	BB	0	0.0186410272738304	ct2VSct3	-0.00271287023166996	0	-0.00271287023167
154	4	14	-0.18161297	-0.1880073	BB	0	0.034144564134681	-0.16271872	-0.19694965	BB	0	0.032047394952448	ct2VSct3	0.002097169182233	0	0.002097169182233
155	4	15	-0.18161297	-0.20745743	BB	0	0.0376769600108671	-0.16271872	-0.20676996	BB	0	0.0336453432256512	ct2VSct3	0.0040316167852159	0	0.0040316167852159
156	4	16	-0.18161297	-0.17437581	BB	0	0.0316689087502557	-0.16271872	-0.19555677	BB	0	0.0318207473017344	ct2VSct3	-0.000151838551478697	0	-0.000151838551478697
157	4	17	-0.18161297	-0.14796277	BB	0	0.0268719581091269	-0.16271872	-0.19100095	BB	0	0.031079430102784	ct2VSct3	-0.0042074719936571	0	-0.0042074719936571
158	4	18	-0.18161297	-0.16760507	BB	0	0.0304392545497579	-0.16271872	-0.18987862	BB	0	0.0308968060017664	ct2VSct3	-0.000457551452008501	0	-0.000457551452008497
159	4	19	-0.18161297	-0.14024768	BB	0	0.0254707977004096	-0.16271872	-0.15944314	BB	0	0.0259443836535808	ct2VSct3	-0.000473585953171197	0	-0.000473585953171197
160	4	20	-0.18161297	0.054948016	BA	0	0	-0.16271872	0.054914255	BA	0	0	ct2VSct3	-0.00104369509801392	0	0
161	4	21	-0.18161297	-0.0074197618	BB	0	0.00134752497719055	-0.16271872	-0.01455958	BB	0	0.0023691162213376	ct2VSct3	-0.00102159124414705	0	-0.00102159124414705
162	4	22	-0.18161297	-0.15307954	BB	0	0.0278012299056338	-0.16271872	-0.15076104	BB	0	0.0245316434546688	ct2VSct3	0.003269586450965	0	0.003269586450965
163	4	23	-0.18161297	-0.094298444	BB	0	0.0171258204812187	-0.16271872	-0.014486541	BB	0	0.00235723140874752	ct2VSct3	0.0147685890724712	0	0.0147685890724712
164	4	24	-0.18161297	-0.15181406	BB	0	0.0275714023243582	-0.16271872	-0.15360689	BB	0	0.0249947165239808	ct2VSct3	0.0025766858003774	0	0.0025766858003774
165	4	25	-0.18161297	-0.14685121	BB	0	0.0266700843961937	-0.16271872	-0.17528898	BB	0	0.0285227984557056	ct2VSct3	-0.0018527140595119	0	-0.0018527140595119
166	4	26	-0.18161297	0.022230333	BA	0	0	-0.16271872	0.034817162	BA	0	0	ct2VSct3	0.00162808723445363	0	0
167	4	27	-0.18161297	-0.1369298	BB	0	0.024868227659506	-0.16271872	-0.13150274	BB	0	0.0213979575292928	ct2VSct3	0.0034702701302132	0	0.0034702701302132
168	4	28	-0.18161297	-0.19271408	BB	0	0.0349993764296176	-0.16271872	-0.19158984	BB	0	0.0311752535298048	ct2VSct3	0.0038241228998128	0	0.0038241228998128
169	4	29	-0.18161297	-0.072474398	BB	0	0.0131622906697421	-0.16271872	-0.12514643	BB	0	0.0203636669021696	ct2VSct3	-0.00720137623242754	0	-0.0072013762324275
170	4	30	-0.18161297	-0.19092902	BB	0	0.0346751863813894	-0.16271872	-0.18395331	BB	0	0.0299326471429632	ct2VSct3	0.0047425392384262	0	0.0047425392384262
171	4	31	-0.18161297	-0.061939482	BB	0	0.0112490132862815	-0.16271872	-0.079477947	BB	0	0.0129325498040678	ct2VSct3	-0.0016835365177863	0	-0.0016835365177863
