k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
67	2	20	0.19012852	0.054948016	AA	0.0104471849590163	0	0.21577221	0.10462359	AA	0.0225748632324339	0	ct2VSct5	-0.0121276782734176	-0.0121276782734176	0
68	2	21	0.19012852	-0.0074197618	AB	0	0	0.21577221	0.021771407	AA	0.00469766460319947	0	ct2VSct5	-0.006108372932986	-0.00469766460319947	0
69	2	22	0.19012852	-0.15307954	AB	0	0	0.21577221	-0.16762484	AB	0	0	ct2VSct5	0.0070639957952156	0	0
70	2	23	0.19012852	-0.094298444	AB	0	0	0.21577221	0.045727801	AA	0.00986678868021021	0	ct2VSct5	-0.0277956122762331	-0.00986678868021021	0
71	2	24	0.19012852	-0.15181406	AB	0	0	0.21577221	-0.072285174	AB	0	0	ct2VSct5	-0.0132670507987767	0	0
72	2	25	0.19012852	-0.14685121	AB	0	0	0.21577221	-0.023054218	AB	0	0	ct2VSct5	-0.0229461436498274	0	0
73	2	26	0.19012852	0.022230333	AA	0.00422662031239716	0	0.21577221	0.11066115	AA	0.0238776008966415	0	ct2VSct5	-0.0196509805842443	-0.0196509805842443	0
74	2	27	0.19012852	-0.1369298	AB	0	0	0.21577221	-0.057726404	AB	0	0	ct2VSct5	-0.0135785064514632	0	0
75	2	28	0.19012852	-0.19271408	AB	0	0	0.21577221	-0.20989674	AB	0	0	ct2VSct5	0.0086494406480338	0	0
76	2	29	0.19012852	-0.072474398	AB	0	0	0.21577221	-0.061097665	AB	0	0	ct2VSct5	-0.00059627182674131	0	0
77	2	30	0.19012852	-0.19092902	AB	0	0	0.21577221	-0.17611978	AB	0	0	ct2VSct5	0.0017007021576634	0	0
78	2	31	0.19012852	-0.061939482	AB	0	0	0.21577221	0.0086151607	AA	0.00185891226374415	0	ct2VSct5	-0.0136353743059708	-0.00185891226374415	0
79	2	32	0.19012852	0.093314979	AA	0.0177418388511011	0	0.21577221	0.13175122	AA	0.0284282519095962	0	ct2VSct5	-0.0106864130584951	-0.0106864130584951	0
80	2	33	0.19012852	-0.11083278	AB	0	0	0.21577221	-0.13591568	AB	0	0	ct2VSct5	0.0082543542183672	0	0
81	2	34	0.19012852	-0.17001925	AB	0	0	0.21577221	-0.20408624	AB	0	0	ct2VSct5	0.0117106306613804	0	0
82	2	35	0.19012852	0.0060066249	AA	0.00114203070243215	0	0.21577221	0.085631547	AA	0.0184769081419089	0	ct2VSct5	-0.0173348774394767	-0.0173348774394768	0
83	2	36	0.19012852	-0.02883865	AB	0	0	0.21577221	0.054590767	AA	0.0117791704411851	0	ct2VSct5	-0.0172622202844831	-0.0117791704411851	0
84	2	37	0.19012852	0.1362983	AA	0.025914194057516	0	0.21577221	0.13175867	AA	0.0284298594125607	0	ct2VSct5	-0.0025156653550447	-0.0025156653550447	0
85	2	38	0.19012852	-0.11748793	AB	0	0	0.21577221	-0.14552101	AB	0	0	ct2VSct5	0.0090615836803685	0	0
86	2	39	0.19012852	0.18710115	AA	0.035573264739798	0	0.21577221	0.21221508	AA	0.0457901168069268	0	ct2VSct5	-0.0102168520671288	-0.0102168520671288	0
87	2	40	0.19012852	0.18804056	AA	0.0357518733727712	0	0.21577221	0.22661106	AA	0.0488963692266426	0	ct2VSct5	-0.0131444958538714	-0.0131444958538714	0
88	2	41	0.19012852	0.18964921	AA	0.0360577236164692	0	0.21577221	0.22850003	AA	0.0493039564581663	0	ct2VSct5	-0.0132462328416971	-0.0132462328416971	0
89	2	42	0.19012852	0.15865292	AA	0.0301644448732784	0	0.21577221	0.1785571	AA	0.038527660078191	0	ct2VSct5	-0.0083632152049126	-0.0083632152049126	0
90	2	43	0.19012852	-0.1823701	AB	0	0	0.21577221	-0.20891748	AB	0	0	ct2VSct5	0.0104048291619788	0	0
91	2	44	0.19012852	-0.17777604	AB	0	0	0.21577221	-0.20660961	AB	0	0	ct2VSct5	0.0107803167802773	0	0
92	2	45	0.19012852	0.088799464	AA	0.0168833106671133	0	0.21577221	0.11991098	AA	0.0258734571578658	0	ct2VSct5	-0.00899014649075252	-0.0089901464907525	0
93	2	46	0.19012852	-0.083378426	AB	0	0	0.21577221	-0.14745745	AB	0	0	ct2VSct5	0.015964603132155	0	0
94	2	47	0.19012852	0.15723078	AA	0.0298940554998456	0	0.21577221	0.064093326	AA	0.0138295585972705	0	ct2VSct5	0.0160644969025751	0.0160644969025751	0
95	2	48	0.19012852	0.14162452	AA	0.0269268603833104	0	0.21577221	0.036016928	AA	0.00777145215197088	0	ct2VSct5	0.0191554082313395	0.0191554082313395	0
96	2	49	0.19012852	0.047735823	AA	0.00907594137797196	0	0.21577221	-0.058781142	AB	0	0	ct2VSct5	0.0217592782936358	0.00907594137797196	0
97	2	50	0.19012852	0.0022084846	AA	0.000419895908440792	0	0.21577221	-0.027794689	AB	0	0	ct2VSct5	0.00641721738023348	0.000419895908440792	0
98	3	4	0.14061381	-0.18161297	AB	0	0	0.16017422	-0.16747195	AB	0	0	ct2VSct5	0.0012873973060133	0	0
99	3	5	0.14061381	-0.18328273	AB	0	0	0.16017422	-0.14763435	AB	0	0	ct2VSct5	-0.0021248661160443	0	0
100	3	6	0.14061381	0.042068575	AA	0.00591542261202075	0	0.16017422	0.12247223	AA	0.0196168939119106	0	ct2VSct5	-0.0137014712998899	-0.0137014712998898	0
101	3	7	0.14061381	-0.00098194839	AB	0	0	0.16017422	0.0989969	AA	0.015856751239918	0	ct2VSct5	-0.0159948267442593	-0.015856751239918	0
