"","x"
"1203","Atp11c"
"1204","Atp13a1"
"1205","Atp13a2"
"1206","Atp13a3"
"1207","Atp1a1"
"1208","Atp1a3"
"1209","Atp1b1"
"1210","Atp1b2"
"1211","Atp1b3"
"1212","Atp23"
"1213","Atp2a2"
"1214","Atp2a3"
"1215","Atp2b1"
"1216","Atp2b4"
"1217","Atp2c1"
"1218","Atp4a"
"1219","Atp5a1"
"1220","Atp5b"
"1221","Atp5c1"
"1222","Atp5d"
"1223","Atp5e"
"1224","Atp5f1"
"1225","Atp5g1"
"1226","Atp5g2"
"1227","Atp5g3"
"1228","Atp5h"
"1229","Atp5j"
"1230","Atp5j2"
"1231","Atp5k"
"1232","Atp5l"
"1233","Atp5l-ps1"
"1234","Atp5l2-ps"
"1235","Atp5o"
"1236","Atp5s"
"1237","Atp5sl"
"1238","Atp6ap1"
"1239","Atp6ap2"
"1240","Atp6v0a1"
"1241","Atp6v0a2"
"1242","Atp6v0a4"
"1243","Atp6v0b"
"1244","Atp6v0d1"
"1245","Atp6v0e"
"1246","Atp6v1a"
"1247","Atp6v1b2"
"1248","Atp6v1c1"
"1249","Atp6v1d"
"1250","Atp6v1e1"
"1251","Atp6v1f"
"1252","Atp6v1g1"
"1253","Atp6v1g2"
"1254","Atp6v1h"
"1255","Atp7b"
"1256","Atp8a1"
